aX,aY,aZ,gX,gY,gZ
0.11,-0.18,0.99,-5.21,2.58,-1.98
0.11,-0.2,0.98,-4.29,2.52,-1.51
0.12,-0.19,0.97,0.09,2.73,-1.19
0.13,-0.18,0.97,-0.6,2.92,-0.72
0.11,-0.19,0.98,-1.61,2.5,-1.19
0.11,-0.19,0.99,-3.15,2.45,-1.84
0.11,-0.2,0.99,1.33,2.23,-1.42
0.11,-0.17,0.98,0.62,1.98,-1.37
0.1,-0.17,0.98,-1.98,2.05,-0.89
0.1,-0.19,0.98,-0.12,2.14,-0.15
0.12,-0.18,0.98,0.66,3.63,0.55
0.11,-0.18,0.97,0.92,2.72,0.53
0.1,-0.18,1.0,2.5,1.78,0.73
0.12,-0.17,0.97,0.45,1.49,0.09
0.1,-0.18,0.99,2.08,2.66,0.63
0.11,-0.16,0.96,0.03,2.45,0.69
0.1,-0.18,0.99,2.95,2.27,0.2
0.09,-0.17,0.99,2.59,0.24,-0.76
0.08,-0.18,0.98,-0.49,0.73,-0.14
0.1,-0.17,0.98,4.23,1.73,0.79
0.12,-0.15,0.98,5.63,1.08,0.98
0.13,-0.12,1.0,0.65,1.32,0.21
0.11,-0.17,0.97,-2.0,3.21,0.17
0.09,-0.16,0.98,4.63,5.21,0.57
0.11,-0.14,0.98,2.18,2.89,0.61
0.1,-0.16,0.99,-1.6,1.46,0.22
0.09,-0.18,0.97,1.99,2.74,0.05
0.09,-0.16,0.99,2.42,2.21,0.64
0.09,-0.15,0.98,2.5,1.73,0.18
0.09,-0.14,0.99,2.71,1.73,-0.94
0.09,-0.13,0.99,0.84,1.57,-1.64
0.09,-0.13,1.0,0.06,2.22,-1.73
0.1,-0.13,0.98,0.33,1.73,-1.95
0.1,-0.14,0.97,3.26,0.97,-1.92
0.1,-0.11,0.98,1.4,1.68,-1.72
0.11,-0.15,0.97,-0.76,0.44,-0.57
0.11,-0.15,1.0,-0.26,3.56,0.25
0.11,-0.14,0.99,-1.25,4.21,0.24
0.11,-0.14,0.98,3.21,2.92,0.43
0.09,-0.12,1.0,1.53,1.83,-0.15
0.09,-0.13,0.98,-1.73,0.34,-0.23
0.1,-0.15,0.96,0.37,1.59,-0.01
0.08,-0.12,0.99,2.5,2.13,0.36
0.09,-0.11,0.98,-0.25,1.73,0.46
0.07,-0.13,0.98,1.11,-0.02,0.08
0.08,-0.12,0.99,-0.04,0.83,0.32
0.1,-0.12,0.98,1.73,0.28,0.24
0.09,-0.1,1.0,-0.71,1.11,-0.6
0.1,-0.12,0.98,1.37,1.03,-0.81
0.1,-0.11,0.98,0.43,-1.1,-0.08
0.09,-0.12,0.98,-1.3,-0.33,-0.24
0.11,-0.12,0.98,-0.43,-1.21,0.18
0.1,-0.11,1.0,0.65,-0.15,0.66
0.09,-0.11,0.99,-0.26,0.1,1.91
0.08,-0.1,1.0,0.19,-0.15,2.27
0.09,-0.14,0.97,0.29,-0.27,2.23
0.1,-0.13,0.99,4.57,-1.39,1.74
0.1,-0.1,0.98,2.83,-2.62,1.71
0.09,-0.08,1.01,0.4,0.95,1.69
0.1,-0.1,0.96,1.12,1.61,1.72
0.1,-0.1,0.97,2.77,0.39,1.82
0.1,-0.09,0.98,-1.1,1.27,0.66
0.1,-0.09,0.96,-2.63,2.89,1.26
0.1,-0.08,0.96,-5.6,5.98,1.48
0.11,-0.08,0.98,-9.71,7.5,1.55
0.13,-0.09,0.98,-11.46,7.15,1.25
0.11,-0.11,0.98,-12.47,9.45,0.79
0.09,-0.12,1.0,-12.76,10.25,2.15
0.1,-0.13,1.01,-19.88,9.5,2.27
0.1,-0.16,1.02,-22.31,7.02,1.45
0.1,-0.16,0.99,-13.79,5.93,1.4
0.07,-0.15,1.0,-16.76,6.66,1.46
0.06,-0.17,1.0,-15.33,4.92,1.38
0.04,-0.16,0.97,-11.01,4.37,1.26
0.02,-0.13,0.98,-9.3,3.79,-0.55
0.02,-0.13,1.0,-15.93,2.71,-1.9
0.04,-0.17,0.99,-20.58,1.84,-2.7
0.04,-0.2,0.99,-11.76,1.18,-3.18
0.05,-0.19,0.97,-6.05,3.47,-1.82
0.05,-0.18,0.95,-9.34,1.22,0.55
0.06,-0.19,0.98,-11.57,5.92,1.24
0.08,-0.18,1.01,-16.14,1.6,1.63
0.09,-0.24,0.98,-17.22,0.56,1.3
0.1,-0.26,0.96,-1.19,3.02,0.83
0.08,-0.19,1.01,0.92,1.61,0.6
0.06,-0.19,1.0,-11.63,-1.49,-0.81
0.08,-0.24,0.95,-1.34,-0.56,-2.65
0.06,-0.19,0.95,3.57,0.5,-3.56
0.09,-0.18,0.98,-6.73,5.18,-3.74
0.05,-0.23,0.97,-6.67,2.76,-1.64
0.01,-0.23,0.98,-3.66,0.79,-1.02
0.03,-0.21,0.99,-0.52,0.62,-1.98
0.06,-0.22,0.97,2.31,-1.11,-1.85
0.06,-0.2,0.98,-2.56,-1.5,-2.23
0.06,-0.21,0.97,-5.56,-0.98,-0.36
0.07,-0.21,0.96,1.92,1.43,2.72
0.06,-0.19,0.98,-1.99,0.13,2.8
0.05,-0.22,0.98,-1.27,-3.04,1.18
0.07,-0.22,0.97,2.67,-2.9,0.94
0.09,-0.21,0.97,1.93,-1.3,1.58
0.09,-0.19,0.98,1.09,-0.35,1.37
0.08,-0.2,0.97,0.98,1.14,-0.54
0.06,-0.21,0.99,-1.39,-1.3,-1.09
0.05,-0.19,0.98,-1.32,-0.7,-0.82
0.06,-0.22,0.97,4.98,-0.81,1.11
0.06,-0.19,0.97,6.64,-1.31,2.11
0.05,-0.2,0.99,-4.72,-3.37,1.28
0.09,-0.22,0.97,-0.47,-3.47,-0.41
0.11,-0.18,0.99,6.92,-3.51,-1.87
0.07,-0.12,1.0,-1.11,-2.52,-0.72
0.04,-0.25,0.94,-9.76,-1.71,-0.54
0.03,-0.19,0.99,13.18,-3.05,1.18
0.09,-0.17,0.99,-7.53,-5.08,2.37
0.16,-0.23,0.97,-1.22,-3.34,4.22
0.11,-0.17,0.99,6.99,-3.6,4.16
0.08,-0.17,0.98,-2.98,-4.23,3.08
0.09,-0.2,0.98,2.97,-4.73,3.74
0.08,-0.19,0.99,-2.67,-4.21,3.47
0.09,-0.2,0.97,5.61,-4.11,2.18
0.12,-0.15,0.98,7.58,-5.05,2.22
0.12,-0.18,0.97,-0.82,-2.31,1.52
0.1,-0.18,0.98,7.43,-2.75,0.89
0.09,-0.15,0.97,2.76,-1.5,0.18
0.1,-0.18,0.99,-0.59,-0.08,0.25
0.1,-0.18,0.99,3.61,-0.85,1.1
0.1,-0.16,1.0,3.89,-1.4,0.72
0.12,-0.18,1.0,1.47,-2.08,0.11
0.08,-0.18,0.97,1.72,1.08,0.05
0.08,-0.17,0.99,0.26,0.82,-0.19
0.08,-0.19,0.98,-1.03,0.72,0.07
0.09,-0.2,0.99,2.03,0.33,-0.53
0.08,-0.19,0.98,0.78,-0.21,0.34
0.06,-0.19,0.97,-0.83,-1.3,3.02
0.07,-0.19,0.99,1.05,1.11,4.57
0.05,-0.16,0.99,1.89,-1.82,2.91
0.05,-0.21,0.96,3.65,-1.74,-0.43
0.05,-0.16,0.99,-0.6,-6.12,-3.0
0.06,-0.22,0.99,-3.76,-5.08,-2.29
0.09,-0.19,0.99,4.66,-4.73,-0.89
0.08,-0.14,0.99,2.08,-4.33,-1.37
0.12,-0.15,0.97,-3.16,-3.14,-1.85
0.11,-0.19,0.97,0.55,-3.34,-2.77
0.13,-0.15,0.98,4.91,-0.83,-1.5
0.14,-0.14,0.99,-5.81,-1.58,-1.81
0.13,-0.19,0.98,-4.21,-0.06,-1.69
0.13,-0.18,0.98,6.72,1.29,-0.95
0.13,-0.14,1.0,2.37,1.27,-1.11
0.13,-0.15,0.98,-5.02,0.55,-1.62
0.13,-0.15,0.98,1.53,1.67,-1.69
0.13,-0.14,0.98,-1.64,2.46,-0.55
0.12,-0.16,0.96,1.28,4.03,0.78
0.11,-0.14,1.0,0.22,5.31,0.89
0.1,-0.15,0.98,-4.81,4.83,1.21
0.09,-0.17,0.98,1.47,5.04,1.63
0.09,-0.15,0.98,1.78,3.82,1.74
0.08,-0.15,0.99,-2.08,2.88,1.96
0.09,-0.17,0.99,1.67,3.87,1.11
0.07,-0.14,1.02,-3.61,2.84,0.71
0.06,-0.17,0.97,-1.72,3.55,0.91
0.05,-0.17,0.98,7.75,4.22,1.73
0.07,-0.17,0.97,2.86,0.63,1.74
0.09,-0.15,1.0,3.82,0.84,1.66
0.11,-0.12,1.0,-5.03,0.7,2.15
0.11,-0.15,0.98,-1.48,0.45,2.11
0.12,-0.11,0.98,1.41,1.6,1.01
0.1,-0.13,0.99,-3.47,2.11,0.06
0.11,-0.15,0.99,-2.31,2.21,-0.02
0.1,-0.14,0.99,-1.21,2.79,-0.54
0.1,-0.13,0.99,-0.97,3.63,-0.46
0.1,-0.15,0.97,-1.95,2.33,-0.6
0.07,-0.17,0.96,1.0,2.73,-1.14
0.07,-0.15,0.98,2.95,0.47,-0.92
0.08,-0.12,0.97,0.45,0.64,-1.45
0.08,-0.11,0.98,-6.89,2.38,-1.23
0.07,-0.14,1.0,-11.45,3.26,-0.6
0.07,-0.15,1.0,-8.0,2.29,0.51
0.09,-0.14,0.97,-7.21,3.97,0.25
0.09,-0.15,0.99,-5.62,3.4,0.91
0.08,-0.15,1.01,-7.76,4.3,1.04
0.09,-0.16,1.0,-11.13,5.31,0.0
0.09,-0.15,1.02,-12.21,1.36,-1.0
0.08,-0.17,0.95,-5.03,3.54,-1.31
0.07,-0.16,0.97,2.7,5.15,0.56
0.07,-0.14,0.98,-2.23,3.92,1.89
0.07,-0.15,1.0,-12.35,4.2,2.34
0.07,-0.18,0.99,-13.66,3.76,2.38
0.07,-0.18,0.98,-8.64,3.22,2.16
0.06,-0.18,0.99,-6.94,2.81,1.31
0.06,-0.19,0.98,-6.71,2.76,0.27
0.05,-0.18,1.0,-6.7,3.06,-1.11
0.04,-0.18,0.98,-9.47,1.23,-2.53
0.03,-0.19,0.98,-8.62,0.48,-3.63
0.04,-0.19,0.97,-7.61,0.91,-3.67
0.05,-0.19,0.99,-8.09,0.92,-2.75
0.06,-0.2,0.98,-8.75,0.82,-2.31
0.07,-0.2,0.98,-6.74,1.05,-1.73
0.07,-0.2,0.98,-6.5,1.66,-1.58
0.07,-0.19,0.98,-7.18,1.03,-1.63
0.08,-0.2,0.99,-7.66,0.48,-1.24
0.08,-0.21,0.98,-6.48,-0.06,-0.72
0.08,-0.21,0.98,-4.57,0.81,-0.4
0.08,-0.21,0.97,-4.4,0.99,-0.08
0.07,-0.21,0.98,-6.66,4.21,-0.45
0.07,-0.21,0.99,-8.89,0.92,-0.58
0.06,-0.22,0.96,-4.39,1.53,-0.29
0.06,-0.22,0.96,0.85,2.23,-0.05
0.06,-0.2,0.98,-2.5,0.74,-0.02
0.05,-0.21,0.99,-10.39,1.28,-0.4
0.05,-0.24,0.97,-7.76,1.51,-0.09
0.06,-0.23,0.97,-0.93,1.23,0.08
0.07,-0.21,0.97,-3.84,1.07,-0.08
0.06,-0.22,0.99,-7.61,1.4,-0.12
0.07,-0.23,0.98,-5.9,0.82,-0.04
0.07,-0.23,0.97,-3.36,0.97,-0.23
0.06,-0.22,0.97,-3.4,1.41,-0.31
0.07,-0.23,0.97,-2.28,1.63,-0.37
0.06,-0.22,0.98,-3.17,1.24,-0.5
0.06,-0.23,0.97,-4.65,0.97,-0.55
0.07,-0.23,0.97,-3.37,1.46,-0.29
0.07,-0.23,0.98,-2.58,1.75,-0.44
0.06,-0.22,0.98,-4.14,1.64,-0.44
0.06,-0.23,0.98,-3.86,1.17,-0.53
0.07,-0.23,0.98,-2.69,1.11,-0.52
0.07,-0.22,0.97,-2.69,0.55,-0.47
0.06,-0.23,0.97,-2.66,-0.54,-0.44
0.06,-0.23,0.98,-2.11,1.87,-0.67
0.06,-0.23,1.0,-4.79,-0.65,-0.32
0.07,-0.25,0.96,0.64,-1.21,-0.43
0.07,-0.23,0.97,8.39,0.32,-0.16
0.06,-0.22,0.98,1.54,-0.27,-0.11
0.05,-0.23,0.98,-4.11,-0.89,-0.53
0.06,-0.23,0.97,-0.34,0.35,-0.03
0.07,-0.22,0.98,2.76,-0.4,-0.04
0.07,-0.21,0.99,1.33,0.09,-0.17
0.07,-0.23,0.97,1.19,0.9,0.2
0.07,-0.22,0.98,2.64,-0.34,0.18
0.06,-0.21,0.97,3.1,-0.13,-0.27
0.07,-0.21,0.98,2.37,0.42,0.21
0.07,-0.22,0.97,2.76,0.76,0.19
0.08,-0.21,0.98,3.76,0.66,-0.15
0.06,-0.2,0.98,2.13,0.17,-0.16
0.07,-0.21,0.97,2.04,0.63,-0.41
0.08,-0.2,0.97,2.51,0.66,-0.25
0.08,-0.2,0.97,2.73,0.47,-0.02
0.07,-0.2,0.97,2.39,0.31,-0.02
0.07,-0.2,0.98,2.34,0.7,0.28
0.07,-0.2,0.99,3.28,0.29,0.5
0.08,-0.19,0.98,4.13,0.5,0.58
0.08,-0.2,0.96,5.96,1.33,-0.02
0.07,-0.17,0.99,2.16,1.43,0.19
0.07,-0.18,0.97,1.08,1.53,0.16
0.07,-0.18,0.99,3.89,1.3,0.01
0.07,-0.19,0.99,1.16,0.37,-0.08
0.07,-0.18,0.97,1.58,0.54,-0.27
0.07,-0.17,0.97,0.99,1.25,-0.11
0.07,-0.17,0.98,2.0,1.52,0.14
0.08,-0.16,0.99,1.07,1.05,0.06
0.07,-0.18,0.99,0.78,1.39,0.08
0.06,-0.18,0.99,1.25,0.0,-0.08
0.07,-0.17,0.99,-0.43,-0.95,-0.18
0.07,-0.17,0.99,-1.32,0.5,-0.16
0.08,-0.18,0.96,4.48,1.02,0.19
0.07,-0.15,0.99,4.04,1.09,0.08
0.07,-0.17,0.99,0.23,0.73,-0.08
0.07,-0.17,0.99,2.29,1.17,-0.06
0.07,-0.15,0.98,2.97,1.79,-0.09
0.07,-0.16,1.0,1.73,2.17,-0.02
0.07,-0.16,0.99,1.98,1.6,0.11
0.07,-0.14,0.98,1.79,1.33,-0.05
0.07,-0.15,0.99,-0.76,1.36,-0.25
0.07,-0.17,0.98,0.59,1.19,0.12
0.07,-0.15,0.98,1.96,0.09,0.12
0.07,-0.14,0.98,1.55,1.85,-0.69
0.07,-0.13,1.0,-4.17,1.47,-0.34
0.07,-0.15,0.97,0.78,1.89,0.34
0.07,-0.14,0.99,1.66,1.35,0.47
0.07,-0.14,0.99,-0.57,0.28,-0.44
0.07,-0.14,0.98,-5.27,0.46,-0.98
0.07,-0.15,0.97,-1.4,1.81,-0.52
0.07,-0.14,0.98,-1.53,2.21,-0.51
0.06,-0.13,0.99,-5.3,1.33,-0.89
0.07,-0.15,0.99,-6.9,1.03,-1.24
0.07,-0.15,1.01,-8.28,1.73,-1.36
0.06,-0.16,0.98,-5.48,2.06,-1.61
0.07,-0.15,0.97,-2.56,1.76,-1.34
0.07,-0.15,0.96,-1.42,2.7,-0.62
0.08,-0.14,0.98,-5.32,2.51,-0.14
0.08,-0.15,0.99,-11.21,2.67,-0.12
0.08,-0.16,1.0,-10.69,2.54,-0.11
0.07,-0.16,0.99,-10.63,1.91,-0.3
0.07,-0.17,1.0,-9.15,2.11,-0.6
0.07,-0.18,0.99,-7.84,1.72,-1.04
0.06,-0.17,0.99,-7.7,1.21,-1.27
0.06,-0.17,0.99,-8.88,0.5,-1.16
0.06,-0.18,0.99,-8.88,0.14,-1.13
0.07,-0.19,0.98,-7.19,0.34,-0.75
0.06,-0.19,0.99,-7.51,3.46,-0.88
0.05,-0.19,0.99,-7.23,0.99,-0.78
0.07,-0.2,0.96,-3.74,1.21,-0.81
0.07,-0.18,0.97,-0.21,1.54,-0.74
0.07,-0.18,0.98,-4.45,0.58,-0.67
0.07,-0.2,1.0,-12.08,1.2,-1.04
0.07,-0.21,0.98,-9.73,1.95,-0.47
0.07,-0.2,0.98,-4.19,1.94,-0.5
0.07,-0.18,0.98,-5.57,1.5,-0.81
0.06,-0.2,0.99,-8.64,1.25,-0.65
0.06,-0.2,0.99,-8.56,1.63,-0.5
0.06,-0.22,0.98,-6.25,1.34,-0.4
0.07,-0.21,0.97,-4.09,1.37,-0.27
0.06,-0.2,0.98,-4.68,1.36,-0.27
0.06,-0.22,0.98,-6.41,1.45,-0.42
0.06,-0.22,0.99,-5.56,1.38,-0.69
0.06,-0.22,0.98,-4.62,1.01,-0.52
0.06,-0.22,0.98,-5.06,1.21,-0.83
0.06,-0.21,0.98,-4.93,1.15,-0.46
0.06,-0.22,0.99,-4.97,1.34,-0.34
0.06,-0.22,0.99,-5.37,1.51,-0.27
0.06,-0.23,0.98,-4.93,1.04,-0.49
0.07,-0.22,0.97,-4.09,0.65,-0.52
0.06,-0.22,0.98,-3.18,0.71,-0.55
0.07,-0.21,0.97,-4.5,0.53,-0.74
0.06,-0.23,0.98,-5.95,2.12,-0.4
0.05,-0.22,0.98,-5.32,1.29,-0.05
0.07,-0.23,0.96,-0.73,1.15,0.0
0.07,-0.22,0.96,1.82,1.15,-0.19
0.06,-0.22,0.98,-3.9,0.66,-0.71
0.05,-0.23,0.98,-9.99,1.01,-0.69
0.07,-0.24,0.96,-3.0,1.21,-0.13
0.07,-0.21,0.97,0.22,1.02,-0.16
0.07,-0.21,0.98,-5.1,0.79,-0.28
0.07,-0.24,0.98,-6.43,1.43,-0.53
0.07,-0.24,0.98,-3.55,0.48,-0.18
0.06,-0.23,0.97,-3.05,0.99,-0.31
0.07,-0.24,0.97,-2.49,1.05,-0.03
0.06,-0.24,0.97,-1.01,1.4,-0.19
0.05,-0.23,0.97,-3.43,0.66,-0.72
0.06,-0.24,0.97,-3.08,0.61,-0.25
0.06,-0.23,0.97,-0.86,0.75,-0.08
0.06,-0.23,0.98,-1.3,0.18,-0.29
0.06,-0.23,0.98,-1.4,-0.21,-0.27
0.06,-0.24,0.97,0.25,-0.34,-0.29
0.07,-0.23,0.98,2.27,-0.05,-0.29
0.07,-0.22,0.97,1.49,-0.48,-0.18
0.07,-0.23,0.97,1.95,-0.73,-0.15
0.07,-0.23,0.98,3.98,-0.44,-0.08
0.07,-0.22,0.97,1.58,-0.73,-0.2
0.07,-0.21,0.98,1.73,0.79,-0.06
0.08,-0.21,0.98,2.05,0.46,0.18
0.07,-0.22,0.96,3.45,0.19,0.15
0.06,-0.22,0.98,3.11,0.27,0.14
0.06,-0.21,0.98,3.21,-0.55,-0.12
0.06,-0.2,0.97,2.73,0.3,-0.19
0.07,-0.2,0.97,3.49,0.71,0.26
0.07,-0.19,0.98,2.53,0.56,0.18
0.07,-0.19,0.99,0.93,0.82,0.29
0.07,-0.21,0.98,0.63,1.37,0.08
0.07,-0.2,0.98,3.55,0.37,0.15
0.06,-0.19,0.98,3.8,0.89,0.02
0.07,-0.19,0.97,1.46,0.6,0.12
0.07,-0.2,0.97,4.21,0.6,0.06
0.07,-0.19,0.99,4.74,0.64,-0.13
0.07,-0.18,0.99,1.05,0.24,-0.06
0.07,-0.18,0.98,1.75,0.92,0.16
0.07,-0.19,0.97,4.87,1.02,0.33
0.07,-0.17,0.99,2.78,1.12,-0.08
0.07,-0.19,0.99,1.76,1.11,0.36
0.07,-0.18,0.97,6.0,1.53,0.28
0.07,-0.16,0.99,4.03,1.34,0.24
0.08,-0.16,0.98,1.42,0.47,0.33
0.07,-0.17,0.98,4.06,0.92,0.15
0.07,-0.16,0.97,3.97,0.66,0.04
0.07,-0.15,1.0,2.15,1.79,0.02
0.07,-0.15,0.98,-0.23,1.27,-0.02
0.07,-0.16,0.99,3.28,0.73,0.18
0.07,-0.17,0.99,3.09,1.19,0.38
0.07,-0.15,0.98,2.33,0.21,-0.03
0.07,-0.15,0.98,-0.85,1.11,-0.17
0.07,-0.16,0.98,1.27,1.54,0.18
0.07,-0.14,0.99,4.01,1.44,0.36
0.07,-0.13,1.0,-0.47,0.79,-0.18
0.07,-0.16,0.99,-0.73,1.07,-0.08
0.07,-0.14,0.99,0.78,0.56,0.11
0.07,-0.15,0.99,3.53,1.12,0.04
0.07,-0.14,0.98,1.66,0.76,0.08
0.07,-0.14,0.97,3.78,1.19,-0.02
0.07,-0.13,0.99,0.51,0.44,-0.29
0.07,-0.14,0.97,-0.65,0.95,-0.6
0.07,-0.13,0.97,0.08,1.84,-0.67
0.07,-0.13,0.98,-3.0,1.4,-0.54
0.07,-0.13,0.99,-5.82,1.51,-0.73
0.07,-0.15,1.0,-7.14,1.18,-0.54
0.07,-0.15,0.97,-1.82,1.71,-0.67
0.08,-0.13,0.97,-0.59,2.0,-0.69
0.08,-0.12,0.98,-4.05,1.48,-0.9
0.07,-0.13,0.98,-7.82,1.37,-1.42
0.07,-0.14,0.98,-11.41,1.06,-1.69
0.07,-0.14,1.02,-15.4,1.74,-1.94
0.07,-0.16,0.99,-16.66,0.05,-1.48
0.07,-0.18,0.97,-3.15,2.28,-0.96
0.07,-0.15,0.98,-1.79,2.64,-0.41
0.07,-0.14,1.0,-11.82,0.69,-1.34
0.07,-0.17,0.99,-15.66,1.85,-1.41
0.06,-0.18,0.99,-9.95,2.18,-0.86
0.07,-0.16,0.98,-5.86,1.85,-0.8
0.07,-0.16,0.99,-7.55,1.36,-0.89
0.07,-0.18,0.99,-9.14,2.05,-1.05
0.07,-0.19,0.98,-7.24,1.62,-0.63
0.06,-0.19,0.98,-5.79,1.96,-0.54
0.08,-0.18,0.98,-7.08,1.53,-0.6
0.07,-0.19,0.98,-5.91,2.23,-0.34
0.06,-0.18,0.98,-7.38,1.78,-0.61
0.07,-0.19,0.98,-7.94,1.9,-0.54
0.06,-0.2,0.98,-5.54,1.93,-0.57
0.06,-0.19,0.98,-6.44,2.06,-0.44
0.06,-0.2,0.98,-6.92,1.63,-0.61
0.06,-0.2,0.98,-6.44,1.85,-0.45
0.07,-0.21,0.98,-6.37,1.88,-0.44
0.06,-0.2,0.98,-5.82,1.49,-0.64
0.06,-0.2,0.98,-5.55,1.12,-0.56
0.06,-0.21,0.98,-5.59,1.28,-0.67
0.07,-0.21,0.98,-5.77,0.89,-0.54
0.06,-0.22,0.98,-5.86,2.84,-0.49
0.06,-0.21,0.99,-7.16,1.1,-0.6
0.06,-0.22,0.96,-4.2,1.16,-0.66
0.07,-0.22,0.97,0.78,1.42,-0.22
0.06,-0.2,0.99,-3.82,0.97,-0.54
0.06,-0.22,0.99,-11.01,1.29,-0.74
0.06,-0.23,0.97,-5.31,1.47,-0.43
0.06,-0.21,0.97,-0.82,1.45,-0.37
0.06,-0.21,0.99,-5.89,1.0,-0.57
0.06,-0.23,0.99,-7.58,1.15,-0.58
0.06,-0.23,0.97,-4.21,0.76,-0.6
0.07,-0.23,0.98,-3.29,1.22,-0.44
0.07,-0.23,0.97,-4.15,1.21,-0.35
0.06,-0.23,0.96,-2.58,1.58,-0.22
0.06,-0.23,0.97,-3.53,1.11,-0.4
0.07,-0.23,0.98,-4.19,1.22,-0.41
0.06,-0.23,0.96,-3.02,1.39,-0.51
0.06,-0.23,0.97,-2.21,1.18,-0.5
0.06,-0.23,0.97,-3.44,1.25,-0.39
0.06,-0.23,0.98,-3.53,1.57,-0.27
0.06,-0.23,0.97,-3.2,1.25,-0.22
0.06,-0.23,0.97,-2.74,0.68,-0.37
0.06,-0.23,0.97,-2.42,0.51,-0.48
0.07,-0.23,0.97,-1.69,0.6,-0.34
0.06,-0.23,0.98,-3.09,0.15,-0.39
0.06,-0.24,0.97,-2.66,1.84,-0.66
0.06,-0.23,0.99,-2.17,1.52,-0.19
0.06,-0.23,0.96,-3.46,0.03,-0.27
0.06,-0.25,0.97,0.08,0.98,-0.25
0.06,-0.24,0.97,2.49,-0.24,-0.28
0.06,-0.22,0.99,-2.02,-0.63,-0.74
0.06,-0.24,0.97,-4.48,-0.14,-0.46
0.06,-0.23,0.96,3.02,0.54,0.11
0.07,-0.21,0.97,3.16,0.47,0.09
0.07,-0.22,0.98,-2.56,0.33,0.02
0.06,-0.24,0.99,-1.81,0.56,-0.29
0.07,-0.24,0.97,1.92,0.03,-0.15
0.07,-0.22,0.98,2.09,0.4,-0.18
0.07,-0.22,0.97,-0.71,0.06,-0.02
0.07,-0.23,0.98,2.78,0.47,-0.12
0.07,-0.21,0.98,1.93,-0.05,-0.38
0.07,-0.22,0.98,1.11,0.08,-0.27
0.06,-0.21,0.97,2.53,0.11,0.08
0.07,-0.21,0.98,2.27,0.4,0.05
0.07,-0.2,0.98,1.37,0.76,0.22
0.07,-0.22,0.98,1.31,0.91,0.05
0.07,-0.21,0.98,3.55,1.24,0.33
0.07,-0.2,0.97,3.68,0.85,0.17
0.07,-0.2,0.98,1.0,0.89,-0.08
0.07,-0.2,0.98,0.4,0.28,-0.13
0.07,-0.2,0.99,0.71,-0.25,-0.25
0.07,-0.2,0.98,2.63,1.83,-0.46
0.07,-0.18,1.0,-0.53,1.06,-0.04
0.07,-0.2,0.96,0.5,0.7,0.15
0.06,-0.2,0.98,3.92,1.18,0.27
0.06,-0.2,0.98,2.49,-0.05,-0.14
0.07,-0.18,0.98,0.98,0.41,-0.36
0.06,-0.19,0.98,-0.09,0.85,-0.04
0.07,-0.18,0.99,0.72,1.2,-0.11
0.08,-0.18,0.99,-0.15,1.79,0.29
0.06,-0.19,0.98,0.23,1.48,0.08
0.07,-0.19,0.98,-0.11,1.42,0.0
0.07,-0.19,0.98,1.95,0.66,-0.13
0.07,-0.18,0.99,0.33,0.92,0.07
0.08,-0.19,0.98,0.81,0.84,0.08
0.07,-0.19,0.98,2.32,0.94,-0.27
0.06,-0.18,0.98,0.99,0.24,-0.15
0.07,-0.17,0.97,3.08,0.83,0.02
0.07,-0.16,0.98,2.12,1.23,-0.08
0.07,-0.17,0.99,-0.22,0.94,0.14
0.07,-0.18,0.98,0.95,1.02,-0.05
0.07,-0.17,0.99,1.49,0.82,0.07
0.07,-0.17,0.99,0.94,0.96,0.1
0.07,-0.16,0.99,0.9,0.83,-0.02
0.08,-0.17,0.98,1.09,0.34,-0.02
0.08,-0.17,0.99,2.43,0.54,-0.03
0.08,-0.16,0.98,3.83,1.99,-0.26
0.07,-0.14,1.01,-2.79,1.2,-0.08
0.08,-0.17,0.96,-0.5,1.08,-0.18
0.07,-0.16,0.98,2.66,1.31,0.08
0.06,-0.16,0.98,0.91,0.53,-0.43
0.07,-0.15,0.99,-5.38,0.01,-1.03
0.07,-0.16,0.98,-3.75,1.82,-0.4
0.08,-0.14,0.98,-2.71,2.01,0.08
0.07,-0.14,0.98,-3.87,1.73,-0.34
0.07,-0.15,0.99,-4.02,1.31,-0.74
0.07,-0.16,1.0,-3.76,2.18,-0.74
0.07,-0.17,0.99,-5.63,0.92,-0.53
0.07,-0.16,0.99,-2.97,1.96,-0.63
0.07,-0.17,0.99,-3.98,1.77,-0.53
0.07,-0.17,1.0,-4.05,1.2,-1.11
0.07,-0.16,0.99,-7.06,0.73,-1.46
0.06,-0.17,0.99,-6.2,2.14,-1.23
0.07,-0.16,0.98,-5.68,2.34,-0.69
0.07,-0.16,1.0,-7.89,1.57,-0.06
0.06,-0.17,0.99,-10.07,0.83,-0.37
0.07,-0.19,0.99,-7.06,0.59,-0.27
0.08,-0.19,0.98,-1.98,1.11,-0.32
0.08,-0.17,0.97,-1.31,1.31,-0.29
0.07,-0.17,0.97,-2.76,1.43,-0.44
0.07,-0.16,0.98,-4.5,1.25,-0.27
0.07,-0.18,0.98,-7.92,2.78,-0.4
0.07,-0.19,1.0,-9.71,1.5,-0.46
0.09,-0.18,0.98,-8.14,-0.98,-0.47
0.08,-0.19,0.96,-3.76,0.93,0.24
0.08,-0.19,0.97,-2.63,1.83,1.31
0.08,-0.17,0.99,-7.19,1.43,1.01
0.07,-0.18,0.99,-14.05,1.95,0.26
